osm_id,amenity_type,name,lat,lon,is_station
7874287862,convenience,7-Eleven,41.89652,-87.6264481,False
7874385731,convenience,7-Eleven,41.8887331,-87.632297,False
7874385742,pharmacy,CVS Pharmacy,41.8781513,-87.6246204,False
7877172172,convenience,Light Mini Mart,42.0189148,-87.6664647,False
7877201715,convenience,BP Shop,41.9246987,-87.7387033,False
7880485301,pharmacy,Walgreens,41.718955,-87.7706236,False
7892457147,convenience,Amoco,41.9609503,-87.7479764,False
7892457148,convenience,Shell,41.9611475,-87.7469748,False
7917460591,convenience,Al Noor Meat & Grocery,41.9977976,-87.6929917,False
7920292469,convenience,7-Eleven,41.9678849,-87.7388113,False
7920292472,convenience,BP Shop,41.9609339,-87.7086593,False
7943057094,convenience,Shell,41.910664,-87.6876061,False
8011693510,convenience,BP Shop,41.946421,-87.7081473,False
8011693511,convenience,BP Shop,41.9393391,-87.7267814,False
8026093300,convenience,Shell,41.7948449,-87.6321922,False
8109993907,convenience,La Moreliana,41.846322,-87.71582,False
8118655888,convenience,7-Eleven,41.8783751,-87.6263452,False
8119969786,convenience,Mobil Mart,42.0042436,-87.7291647,False
8127340772,convenience,Citgo,41.7864717,-87.6638631,False
8152698386,supermarket,Park To Shop Supermarket,41.8485487,-87.6412111,False
8166594636,convenience,BP Shop,41.7652009,-87.663378,False
8166594637,convenience,Clark's Pump-N-Shop,41.771793,-87.6643757,False
8166594638,convenience,Citgo,41.778875,-87.6742341,False
8166710218,convenience,Circle K,41.792848,-87.7236964,False
8175562211,convenience,La Bodeguita Beto’s Produce,41.8161404,-87.7012061,False
8178703779,convenience,Shell,41.9388424,-87.7227932,False
8218327857,convenience,BP Shop,41.8239113,-87.6501195,False
8229067180,convenience,Citgo,41.8747365,-87.7251887,False
8250015418,supermarket,Aldi,41.9036208,-87.6347865,False
8299870046,supermarket,Produce World,41.9655483,-87.8355639,False
8380262413,convenience,BP Shop,41.7657374,-87.6245134,False
8380289429,convenience,Shell,41.7514386,-87.6240546,False
8380289472,convenience,Mobil Mart,41.7659458,-87.6205894,False
8383161814,convenience,Tidak bernama,41.7468008,-87.8380953,False
8442098353,convenience,BP Shop,41.8732852,-87.7193104,False
8520355483,community_centre,Ukrainian Cultural Center,41.8956242,-87.6836902,False
8522222391,community_centre,Latinos Progresando Resource Center,41.8519681,-87.701564,False
8540508744,convenience,SNK Fuels,41.7405075,-87.7988787,False
8577306403,convenience,Blue Bell Mart,41.8946935,-87.652766,False
8863580564,convenience,7-Eleven,41.86399,-87.6470145,False
8906335792,convenience,Rosie's Food Mart,41.9283963,-87.7192524,False
8972370702,convenience,BP Shop,41.9463211,-87.7572876,False
8985328668,convenience,Tidak bernama,41.8768814,-87.8336963,False
8988167259,convenience,Marathon,41.9962703,-87.6707113,False
8991538892,convenience,Malik Food Mart,41.9980188,-87.6803536,False
8991632767,convenience,Satina World Market,41.9979783,-87.6824051,False
8991647382,supermarket,Rahmat Grocery and Zabiha Halal Meat,41.997948,-87.684829,False
9025577830,supermarket,FreshMart,41.8488253,-87.6418163,False
9237344905,convenience,Shell,41.9808128,-87.8075669,False
9287336772,convenience,7-Eleven,41.8866557,-87.7924473,False
9311668703,convenience,7-Eleven,41.9654133,-87.8671817,False
9311812087,convenience,BP Shop,41.9612923,-87.8067838,False
9331149468,pharmacy,Walmart Pharmacy,41.7222639,-87.6863871,False
9338120651,convenience,Tidak bernama,41.8712792,-87.6863909,False
9342498393,convenience,Mobil Mart,41.790133,-87.8681776,False
9345003346,convenience,Meijer Express,41.7248538,-87.6830341,False
9351225804,convenience,7-Eleven,41.8938793,-87.6279232,False
9354608507,supermarket,L&M Fine Foods,41.9612596,-87.6835277,False
9354635422,pharmacy,CVS Pharmacy,41.9556334,-87.6791385,False
9365466211,fire_station,Elmwood Park Fire Department Station #2,41.9236361,-87.8122565,False
9424562874,supermarket,Old World Market,41.9755885,-87.6596081,False
9434660174,pharmacy,CVS Pharmacy,41.8665025,-87.6569657,False
9442819202,supermarket,Potash Market,41.9103929,-87.6314813,False
9445865004,convenience,Shell,41.8774488,-87.6522714,False
9485933702,convenience,La Nueva Esperanza,41.7794749,-87.8128275,False
9489630381,supermarket,Fairplay Foods,41.7173112,-87.8343446,False
9517344549,supermarket,Farmers Best Market,41.9251968,-87.786195,False
9579333601,supermarket,Go Green Community Fresh Market,41.779444,-87.6548974,False
9603257760,police,Western Springs Police Department,41.8102471,-87.8982753,False
9658051821,police,Oak Lawn Police Department,41.7206156,-87.7532147,False
9658051822,fire_station,Oak Lawn Fire Department Station #3,41.7206016,-87.7538262,False
9672965267,supermarket,Potash Markets - State Street,41.8987068,-87.6280658,False
9721820651,supermarket,Lindo Michoacán,41.9686224,-87.7081955,False
9721820668,supermarket,Sahar International Market,41.9700294,-87.7082773,False
9731074032,convenience,7-Eleven,41.8341415,-87.86681,False
9731074105,supermarket,Fruitful Yield,41.8230262,-87.870171,False
9731074114,supermarket,The Dinner Club,41.8219917,-87.8697212,False
9735798709,convenience,Brookfield Tobacco & Food,41.821361,-87.8443839,False
9755201105,supermarket,Dollar City,41.9535754,-87.7004392,False
9773119861,convenience,Go Grocer,41.8790442,-87.6493885,False
9823878786,pharmacy,CVS Pharmacy,41.8923502,-87.6270495,False
9857043926,supermarket,Go Grocer,41.9327236,-87.6422709,False
9934753448,convenience,Farmer's Pride Produce,41.8955103,-87.6870456,False
9962776683,convenience,Amish & Healthy Foods,41.9001436,-87.6867149,False
9969716316,convenience,7-Eleven,41.9470854,-87.6554708,False
10035040817,supermarket,Carnival Grocery,41.9202499,-87.641115,False
10038403365,convenience,Stop and Shop,41.9107635,-87.6383819,False
10061549414,convenience,El-Jeeb,41.9685148,-87.7279003,False
